season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
5,9,96,The Ornithophobia Diffusion,Mark Cendrowski,Story by: Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by: Bill Prady & Steven Molaro & Eric Kaplan,2011-11-10,3X6859,15890000.0
5,10,97,The Flaming Spittoon Acquisition,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Dave GoetschTeleplay by: Bill Prady & Jim Reynolds & Steve Holland,2011-11-17,3X6860,15050000.0
5,11,98,The Speckerman Recurrence,Anthony Rich,Story by: Chuck Lorre & Bill Prady & Steve HollandTeleplay by: Steven Molaro & Eric Kaplan & Anthony Del Broccolo,2011-12-08,3X6861,14020000.0
5,12,99,The Shiny Trinket Maneuver,Mark Cendrowski,Story by: Chuck Lorre & Steve Holland & Tara HernandezTeleplay by: Bill Prady & Steven Molaro & Jim Reynolds,2012-01-12,3X6862,16129999.999999998
5,13,100,The Recombination Hypothesis,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Steven Molaro,2012-01-19,3X6863,15830000.0
5,14,101,The Beta Test Initiation,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Eric KaplanTeleplay by: Bill Prady & Dave Goetsch & Maria Ferrari,2012-01-26,3X6864,16129999.999999998
5,15,102,The Friendship Contraction,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by: Bill Prady & Steven Molaro & Steve Holland,2012-02-02,3X6865,16540000.0
5,16,103,The Vacation Solution,Mark Cendrowski,Story by: Chuck Lorre & Anthony Del Broccolo & Tara HernandezTeleplay by: Bill Prady & Steven Molaro & Maria Ferrari,2012-02-09,3X6866,16210000.0
5,17,104,The Rothman Disintegration,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Steve HollandTeleplay by: Steven Molaro & Eric Kaplan & Jim Reynolds,2012-02-16,3X6867,15650000.0
5,18,105,The Werewolf Transformation,Mark Cendrowski,Story by: Chuck Lorre & Todd Craig & Gary TorvinenTeleplay by: Bill Prady & Steven Molaro & Jim Reynolds & Maria Ferrari,2012-02-23,3X6868,16200000.0
5,19,106,The Weekend Vortex,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Tara HernandezTeleplay by: Steven Molaro & Eric Kaplan & Steve Holland,2012-03-08,3X6869,15040000.0
5,20,107,The Transporter Malfunction,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Maria FerrariTeleplay by: Steven Molaro & Jim Reynolds & Steve Holland,2012-03-29,3X6870,13960000.0
5,21,108,The Hawking Excitation,Mark Cendrowski,Story by: Bill Prady & Steven Molaro & Steve HollandTeleplay by: Chuck Lorre & Eric Kaplan & Maria Ferrari,2012-04-05,3X6871,13290000.0
5,22,109,The Stag Convergence,Peter Chakos,Story by: Billy Prady & Steve Holland & Eric KaplanTeleplay by: Chuck Lorre & Steven Molaro & Jim Reynolds,2012-04-26,3X6872,12650000.0
5,23,110,The Launch Acceleration,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Jim ReynoldsTeleplay by: Bill Prady & Steve Holland & Maria Ferrari,2012-05-03,3X6873,13910000.0
5,24,111,The Countdown Reflection,Mark Cendrowski,Story by: Bill Prady & Eric Kaplan & Steve HollandTeleplay by: Chuck Lorre & Steven Molaro & Jim Reynolds,2012-05-10,3X6874,13720000.0
6,1,112,The Date Night Variable,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by: Steven Molaro & Jim Reynolds & Maria Ferrari,2012-09-27,3X7601,15660000.0
6,2,113,The Decoupling Fluctuation,Mark Cendrowski,Story by: Chuck Lorre & Jim Reynolds & Maria FerrariTeleplay by: Steven Molaro & Eric Kaplan & Steve Holland,2012-10-04,3X7602,15180000.0
6,3,114,The Higgs Boson Observation,Mark Cendrowski,Story by: Steven Molaro & Dave Goetsch & Steve HollandTeleplay by: Chuck Lorre & Jim Reynolds & Maria Ferrari,2012-10-11,3X7603,14230000.0
6,4,115,The Re-Entry Minimization,Mark Cendrowski,Story by: Bill Prady & Jim Reynolds & Anthony Del BroccoloTeleplay by: Chuck Lorre & Steven Molaro & Eric Kaplan,2012-10-18,3X7604,15730000.0
